elementCount,run,className,dataType,archetype,supportsStagedMutability,footprintInBytes,footprintInObjects,footprintInReferences
256,2,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,26168,626,1649
256,3,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,6608,127,445
256,3,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,8656,127,701
256,3,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,10656,158,885
256,3,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,10616,157,883
256,3,scala.collection.immutable.HashSet,SET,PERSISTENT,false,13240,350,605
256,3,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,25528,606,1629
512,0,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,12904,245,878
512,0,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,17000,245,1390
512,0,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,24472,387,1960
512,0,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,24432,386,1958
512,0,scala.collection.immutable.HashSet,SET,PERSISTENT,false,28984,778,1289
512,0,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,53560,1290,3337
512,1,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,13768,269,914
512,1,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,17864,269,1426
512,1,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,24408,377,2004
512,1,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,24368,376,2002
512,1,scala.collection.immutable.HashSet,SET,PERSISTENT,false,28216,754,1265
512,1,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,52792,1266,3313
512,2,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,13264,255,893
512,2,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,17360,255,1405
512,2,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,26416,434,2073
512,2,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,26376,433,2071
512,2,scala.collection.immutable.HashSet,SET,PERSISTENT,false,28600,766,1277
512,2,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,53176,1278,3325
512,3,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,12472,233,860
512,3,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,16568,233,1372
512,3,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,24552,387,1978
512,3,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,24512,386,1976
512,3,scala.collection.immutable.HashSet,SET,PERSISTENT,false,28600,766,1277
512,3,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,53176,1278,3325
1024,0,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,31904,659,2011
1024,0,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,40096,659,3035
1024,0,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,74192,1454,5023
1024,0,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,74152,1453,5021
1024,0,scala.collection.immutable.HashSet,SET,PERSISTENT,false,61368,1662,2685
1024,0,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,110520,2686,6781
1024,1,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,32192,667,2023
1024,1,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,40384,667,3047
